YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2001,1,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"48,240"
2001,1,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,180"
2001,1,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"109,510"
2001,1,MO,Total Electric Power Industry,Coal (Short Tons),"3,621,214"
2001,1,MO,Total Electric Power Industry,Petroleum (Barrels),"131,664"
2001,1,MO,Total Electric Power Industry,Natural Gas (Mcf),"489,246"
2001,1,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,609,634"
2001,1,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"131,584"
2001,1,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"485,406"
2001,1,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"3,800"
2001,1,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2001,1,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2001,1,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"7,780"
2001,1,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),80
2001,1,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,840"
2001,1,MS,Total Electric Power Industry,Coal (Short Tons),"721,432"
2001,1,MS,Total Electric Power Industry,Petroleum (Barrels),"1,243,507"
2001,1,MS,Total Electric Power Industry,Natural Gas (Mcf),"4,147,291"
2001,1,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"721,432"
2001,1,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,232,227"
2001,1,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,469,901"
2001,1,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"82,440"
2001,1,MS,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),230
2001,1,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,690"
2001,1,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"11,050"
2001,1,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"590,260"
2001,1,MT,Total Electric Power Industry,Coal (Short Tons),"986,528"
2001,1,MT,Total Electric Power Industry,Petroleum (Barrels),"88,535"
2001,1,MT,Total Electric Power Industry,Natural Gas (Mcf),"22,540"
2001,1,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"22,888"
2001,1,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),485
2001,1,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),600
2001,1,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"963,640"
2001,1,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2001,1,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"88,050"
2001,1,MT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,170"
2001,1,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"20,770"
2001,1,NC,Total Electric Power Industry,Coal (Short Tons),"2,602,572"
2001,1,NC,Total Electric Power Industry,Petroleum (Barrels),"237,965"
2001,1,NC,Total Electric Power Industry,Natural Gas (Mcf),"208,578"
2001,1,NC,Total Electric Power Industry,Other Gases (Billion BTU),1
2001,1,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,427,512"
2001,1,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"172,595"
2001,1,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,358"
2001,1,NC,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2001,1,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),20
2001,1,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"162,520"
2001,1,NC,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),1
2001,1,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"117,820"
2001,1,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"20,420"
2001,1,NC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"23,520"
2001,1,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,120"
2001,1,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),590
2001,1,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),10
2001,1,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"53,120"
2001,1,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"44,340"
2001,1,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"15,170"
2001,1,ND,Total Electric Power Industry,Coal (Short Tons),"2,237,857"
2001,1,ND,Total Electric Power Industry,Petroleum (Barrels),"8,076"
2001,1,ND,Total Electric Power Industry,Natural Gas (Mcf),"1,890"
2001,1,ND,Total Electric Power Industry,Other Gases (Billion BTU),38
2001,1,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,218,907"
2001,1,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,356"
2001,1,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2001,1,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"18,950"
2001,1,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,720"
2001,1,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,890"
2001,1,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),38
2001,1,NE,Total Electric Power Industry,Coal (Short Tons),"1,161,247"
2001,1,NE,Total Electric Power Industry,Petroleum (Barrels),"7,440"
2001,1,NE,Total Electric Power Industry,Natural Gas (Mcf),"62,411"
2001,1,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,159,237"
2001,1,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,250"
2001,1,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"59,901"
2001,1,NE,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,190"
2001,1,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2001,1,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,010"
2001,1,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,510"
2001,1,NH,Total Electric Power Industry,Coal (Short Tons),"158,114"
2001,1,NH,Total Electric Power Industry,Petroleum (Barrels),"20,742"
2001,1,NH,Total Electric Power Industry,Natural Gas (Mcf),"78,900"
2001,1,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"158,114"
2001,1,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,362"
2001,1,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),100
2001,1,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),730
2001,1,NH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),10
2001,1,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"12,940"
2001,1,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,700"
2001,1,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"78,800"
2001,1,NJ,Total Electric Power Industry,Coal (Short Tons),"513,967"
2001,1,NJ,Total Electric Power Industry,Petroleum (Barrels),"523,862"
2001,1,NJ,Total Electric Power Industry,Natural Gas (Mcf),"7,015,020"
2001,1,NJ,Total Electric Power Industry,Other Gases (Billion BTU),613
2001,1,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),"87,517"
2001,1,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"23,742"
2001,1,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),230
2001,1,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),"314,040"
2001,1,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"283,510"
2001,1,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"65,240"
2001,1,NJ,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2001,1,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"112,410"
2001,1,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"176,160"
2001,1,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,254,310"
2001,1,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,220"
2001,1,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"140,380"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"39,230"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,554,860"
2001,1,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),613
2001,1,NM,Total Electric Power Industry,Coal (Short Tons),"1,477,808"
2001,1,NM,Total Electric Power Industry,Petroleum (Barrels),"25,718"
2001,1,NM,Total Electric Power Industry,Natural Gas (Mcf),"2,803,433"
2001,1,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,477,808"
2001,1,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,678"
2001,1,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,566,323"
2001,1,NM,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2001,1,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"597,270"
2001,1,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"259,750"
2001,1,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"39,090"
2001,1,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"16,040"
2001,1,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"341,000"
2001,1,NV,Total Electric Power Industry,Coal (Short Tons),"657,751"
2001,1,NV,Total Electric Power Industry,Petroleum (Barrels),"238,839"
2001,1,NV,Total Electric Power Industry,Natural Gas (Mcf),"10,310,169"
2001,1,NV,Total Electric Power Industry,Geothermal (Billion BTU),"1,124"
2001,1,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"657,751"
2001,1,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"238,839"
2001,1,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,338,269"
2001,1,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2001,1,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,355,730"
2001,1,NV,"Electric Generators, Independent Power Producers",Geothermal (Billion BTU),"1,124"
2001,1,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,616,170"
2001,1,NY,Total Electric Power Industry,Coal (Short Tons),"982,238"
2001,1,NY,Total Electric Power Industry,Petroleum (Barrels),"4,845,871"
2001,1,NY,Total Electric Power Industry,Natural Gas (Mcf),"15,189,540"
2001,1,NY,Total Electric Power Industry,Other Gases (Billion BTU),61
2001,1,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),"157,068"
2001,1,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,781,951"
2001,1,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,426,780"
2001,1,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"746,880"
2001,1,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,946,760"
2001,1,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,025,540"
2001,1,NY,"Combined Heat and Power, Electric Power",Coal (Short Tons),"51,960"
2001,1,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"49,750"
2001,1,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"11,146,060"
2001,1,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),880
2001,1,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"14,750"
2001,1,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"162,340"
2001,1,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"25,450"
2001,1,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"52,660"
2001,1,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"428,820"
2001,1,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),61
2001,1,OH,Total Electric Power Industry,Coal (Short Tons),"4,954,707"
2001,1,OH,Total Electric Power Industry,Petroleum (Barrels),"105,092"
2001,1,OH,Total Electric Power Industry,Natural Gas (Mcf),"393,607"
2001,1,OH,Total Electric Power Industry,Other Gases (Billion BTU),281
2001,1,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"4,771,937"
2001,1,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"101,012"
2001,1,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"83,687"
2001,1,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"157,860"
2001,1,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,200"
2001,1,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"67,550"
2001,1,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,500"
2001,1,OH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),130
2001,1,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"72,920"
2001,1,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),136
2001,1,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),200
2001,1,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),540
2001,1,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"13,820"
2001,1,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"23,210"
2001,1,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,210"
2001,1,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"155,630"
2001,1,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),145
2001,1,OK,Total Electric Power Industry,Coal (Short Tons),"1,884,803"
2001,1,OK,Total Electric Power Industry,Petroleum (Barrels),"236,870"
2001,1,OK,Total Electric Power Industry,Natural Gas (Mcf),"9,844,619"
2001,1,OK,Total Electric Power Industry,Other Gases (Billion BTU),157
2001,1,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,762,663"
2001,1,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"233,530"
2001,1,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,774,319"
2001,1,OK,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
2001,1,OK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"88,600"
2001,1,OK,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"611,450"
2001,1,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),170
2001,1,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"22,100"
2001,1,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"33,540"
2001,1,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,170"
2001,1,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"436,750"
2001,1,OK,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),157
2001,1,OR,Total Electric Power Industry,Coal (Short Tons),"218,077"
2001,1,OR,Total Electric Power Industry,Petroleum (Barrels),"110,456"
2001,1,OR,Total Electric Power Industry,Natural Gas (Mcf),"6,575,446"
2001,1,OR,"Electric Generators, Electric Utilities",Coal (Short Tons),"217,507"
2001,1,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"102,446"
2001,1,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,538,976"
2001,1,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,950"
2001,1,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,412,250"
2001,1,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2001,1,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"12,560"
2001,1,OR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),570
2001,1,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"8,010"
2001,1,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"606,710"
2001,1,PA,Total Electric Power Industry,Coal (Short Tons),"4,699,883"
2001,1,PA,Total Electric Power Industry,Petroleum (Barrels),"1,005,652"
2001,1,PA,Total Electric Power Industry,Natural Gas (Mcf),"1,071,130"
2001,1,PA,Total Electric Power Industry,Other Gases (Billion BTU),565
2001,1,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),"525,673"
2001,1,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,342"
2001,1,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),970
2001,1,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"3,768,590"
2001,1,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"943,710"
2001,1,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"103,680"
2001,1,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),2
2001,1,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"347,950"
2001,1,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"11,760"
2001,1,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"197,610"
2001,1,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),380
2001,1,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,280"
2001,1,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"186,080"
2001,1,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"57,290"
2001,1,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"47,560"
